toneHz1,audioFile1,toneHz2,audioFile2,cond,getResponse.keys,pitchDiff,pitchAcc
560.0,560Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,10.0,1
553.5,553.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,3.5,1
554.0,554Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,4.0,1
550.0,550Tone_audFile.wav,551.0,551Tone_audFile.wav,2.0,1.0,1.0,0
550.0,550Tone_audFile.wav,563.0,563Tone_audFile.wav,2.0,2.0,13.0,1
564.0,564Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,14.0,1
562.0,562Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,12.0,1
550.0,550Tone_audFile.wav,542.0,542Tone_audFile.wav,1.0,1.0,-8.0,1
550.0,550Tone_audFile.wav,543.0,543Tone_audFile.wav,1.0,1.0,-7.0,1
558.0,558Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,8.0,1
550.0,550Tone_audFile.wav,549.0,549Tone_audFile.wav,1.0,2.0,-1.0,0
550.0,550Tone_audFile.wav,548.5,548.5Tone_audFile.wav,1.0,1.0,-1.5,1
550.0,550Tone_audFile.wav,545.5,545.5Tone_audFile.wav,1.0,1.0,-4.5,1
551.5,551.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,1.5,1
550.0,550Tone_audFile.wav,553.0,553Tone_audFile.wav,2.0,2.0,3.0,1
541.0,541Tone_audFile.wav,550.0,550Tone_audFile.wav,2.0,2.0,-9.0,1
550.0,550Tone_audFile.wav,552.5,552.5Tone_audFile.wav,2.0,1.0,2.5,0
550.0,550Tone_audFile.wav,551.5,551.5Tone_audFile.wav,2.0,2.0,1.5,1
550.0,550Tone_audFile.wav,540.0,540Tone_audFile.wav,1.0,1.0,-10.0,1
557.0,557Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,7.0,1
552.5,552.5Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,2.5,1
551.0,551Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,1.0,1
554.0,554Tone_audFile.wav,550.0,550Tone_audFile.wav,1.0,1.0,4.0,1
550.0,550Tone_audFile.wav,559.0,559Tone_audFile.wav,2.0,2.0,9.0,1
