Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
depth.wav,depth.mpg,depth,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,5,5,18,,,,,,,,,,,,,,,,,,,,,,,90.4116603420116,None,91.91139041201677,None,93.29503650998231,None,debt,93.29503650998231,None,return,0.8100788500159979,93.3782743680058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
blot.wav,blot.mpg,blot,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,6,6,36,,,,,,,,,,,,,,,,,,,,,,,94.21168956602924,None,95.6957483269507,None,97.07829045399558,None,water,97.07829045399558,None,return,0.47470884898211807,97.16165509901475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
freak.wav,freak.mpg,freak,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,7,7,48,,,,,,,,,,,,,,,,,,,,,,,97.66173489496578,None,99.16140593006276,None,100.54681388405152,None,freak,100.54681388405152,None,return,0.4798562660580501,100.62857392104343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
beard.wav,beard.mpg,beard,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,8,8,32,,,,,,,,,,,,,,,,,,,,,,,101.12838058406487,None,102.61273583699949,None,103.99509732297156,None,billion,103.99509732297156,None,return,2.2620283379219472,104.07835454004817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
choke.wav,choke.mpg,choke,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,9,9,24,,,,,,,,,,,,,,,,,,,,,,,106.361673041014,None,107.86139963800088,None,109.24502585700247,None,choke,109.24502585700247,None,return,2.5479883089428768,109.32838261395227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
brain.wav,brain.mpg,brain,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,10,10,54,,,,,,,,,,,,,,,,,,,,,,,111.89537969895173,None,113.37866496597417,None,114.76174360502046,None,brain,114.76174360502046,None,return,2.2633865700336173,114.84506717405748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
count.wav,count.mpg,count,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,11,11,110,,,,,,,,,,,,,,,,,,,,,,,117.1284415590344,None,118.62820402800571,None,119.99501290498301,None,count,119.99501290498301,None,return,2.38994513603393,120.07851382496301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
chalk.wav,chalk.mpg,chalk,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,12,12,21,,,,,,,,,,,,,,,,,,,,,,,122.49526174599305,None,123.97954789397772,None,125.361714396975,None,chalk,125.361714396975,None,return,1.4873343029757962,125.44503757404163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
bench.wav,bench.mpg,bench,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,13,13,95,,,,,,,,,,,,,,,,,,,,,,,126.96175365196541,None,128.46151879406534,None,129.8450806470355,None,catch,129.8450806470355,None,return,1.3720539980567992,129.92838024406228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
chore.wav,chore.mpg,chore,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,14,14,57,,,,,,,,,,,,,,,,,,,,,,,131.3283732610289,None,132.81224727095105,None,134.19551472598687,None,chore,134.19551472598687,None,return,1.9660132619319484,134.27840823004954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
