Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
craft.wav,craft.mpg,craft,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,70,70,58,,,,,,,,,,,,,,,1460.5266500819707,None,1462.0262597189285,None,1463.4097387879156,None,crept,1463.4097387879156,None,return,1.8793417499400675,1463.493173184921,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
bush.wav,bush.mpg,bush,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,71,71,77,,,,,,,,,,,,,,,1465.3932001439389,None,1466.8928988939151,None,1468.276463388931,None,brush,1468.276463388931,None,return,0.7887870980193838,1468.3597780099371,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
swayed.wav,swayed.mpg,swayed,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,72,72,53,,,,,,,,,,,,,,,1469.1764581309399,None,1470.6761634789873,None,1472.0431385439588,None,slid,1472.0431385439588,None,return,1.382189020048827,1472.126408134005,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
bow.wav,bow.mpg,bow,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,73,73,109,,,,,,,,,,,,,,,1473.5264378159773,None,1475.026461286936,None,1476.4097437919118,None,bow,1476.4097437919118,None,return,0.4872270360356197,1476.4932586719515,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
crank.wav,crank.mpg,crank,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,74,74,6,,,,,,,,,,,,,,,1477.0097959769191,None,1478.5097005219432,None,1479.8764447969152,None,,1479.8764447969152,None,return,0.6445180559530854,1479.959939489956,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
your.wav,your.mpg,your,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,75,75,107,,,,,,,,,,,,,,,1480.6276442519156,None,1482.142914726981,None,1483.526873864932,None,your,1483.526873864932,None,return,2.570730554056354,1483.6097543549258,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
dial.wav,dial.mpg,dial,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,76,76,29,,,,,,,,,,,,,,,1486.2098449659534,None,1487.7095459339907,None,1489.0764570459723,None,dial,1489.0764570459723,None,return,1.060677171102725,1489.1598276189761,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
grasp.wav,grasp.mpg,grasp,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,77,77,34,,,,,,,,,,,,,,,1490.2432691029971,None,1491.7431357639143,None,1493.1265974770067,None,grass,1493.1265974770067,None,return,0.9786325480090454,1493.209863788914,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
foil.wav,foil.mpg,foil,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,78,78,23,,,,,,,,,,,,,,,1494.2098287929548,None,1495.7096106819808,None,1497.0933245409979,None,boil,1497.0933245409979,None,return,1.4439031600486487,1497.1765827749623,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
cent.wav,cent.mpg,cent,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,79,79,105,,,,,,,,,,,,,,,1498.6431356989779,None,1500.1429056649795,None,1501.5266218689503,None,sit,1501.5266218689503,None,return,1.2266133030643687,1501.609870993998,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
chalk.wav,chalk.mpg,chalk,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,80,80,91,,,,,,,,,,,,,,,1502.8598826919915,None,1504.3596874309005,None,1505.7266291849082,None,halk,1505.7266291849082,None,return,0.7386494020465761,1505.809911224991,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
dot.wav,dot.mpg,dot,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,81,81,12,,,,,,,,,,,,,,,1506.5764989609597,None,1508.076324078953,None,1509.4598175699357,None,,1509.4598175699357,None,return,2.1413578849751502,1509.543162691989,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
flush.wav,flush.mpg,flush,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,82,82,116,,,,,,,,,,,,,,,1511.709986479953,None,1513.2096040409524,None,1514.5931945379125,None,flusk,1514.5931945379125,None,return,1.1439708699472249,1514.6765747189056,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
awe.wav,awe.mpg,awe,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,83,83,1,,,,,,,,,,,,,,,1515.8431743949186,None,1517.342974831001,None,1518.7264862279408,None,awe,1518.7264862279408,None,return,1.0906384600093588,1518.8099320268957,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
fog.wav,fog.mpg,fog,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,84,84,82,,,,,,,,,,,,,,,1519.926656933967,None,1521.4263325809734,None,1522.8097638579784,None,fog,1522.8097638579784,None,return,0.6713064869400114,1522.8931823429884,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
cup.wav,cup.mpg,cup,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,85,85,30,,,,,,,,,,,,,,,1523.593205197947,None,1525.0929693389917,None,1526.4598718399648,None,up,1526.4598718399648,None,return,0.7733255180064589,1526.5432564249495,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
cease.wav,cease.mpg,cease,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,86,86,99,,,,,,,,,,,,,,,1527.3433098309906,None,1528.8429712979123,None,1530.226514659007,None,cease,1530.226514659007,None,return,3.2226791710127145,1530.3099191649817,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
giant.wav,giant.mpg,giant,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,87,87,113,,,,,,,,,,,,,,,1533.5599890629528,None,1535.0597238559276,None,1536.4431355699198,None,giant,1536.4431355699198,None,return,1.1979338839882985,1536.52655171894,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
groom.wav,groom.mpg,groom,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,88,88,25,,,,,,,,,,,,,,,1537.7432235128945,None,1539.2431114809588,None,1540.6265752479667,None,"
",1540.6265752479667,None,return,1.1504640199709684,1540.7100363000063,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
three.wav,three.mpg,three,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,89,89,89,,,,,,,,,,,,,,,1541.9098967979662,None,1543.4095494009089,None,1544.7931794339092,None,three,1544.7931794339092,None,return,0.6078693950548768,1544.8766113669844,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
firm.wav,firm.mpg,firm,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,90,90,88,,,,,,,,,,,,,,,1545.5099194399081,None,1547.0096916269977,None,1548.393227933906,None,firm,1548.393227933906,None,return,0.6720172319328412,1548.4765974188922,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
grade.wav,grade.mpg,grade,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,91,91,83,,,,,,,,,,,,,,,1549.1766576019581,None,1550.6765552129364,None,1552.0598138659261,None,gray,1552.0598138659261,None,return,1.021296561928466,1552.1431981109781,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
weep.wav,weep.mpg,weep,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,92,92,26,,,,,,,,,,,,,,,1553.1932626419002,None,1554.6930402659345,None,1556.0766078389715,None,weep,1556.0766078389715,None,return,0.5886317249387503,1556.1599432129879,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
blond.wav,blond.mpg,blond,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,93,93,103,,,,,,,,,,,,,,,1556.7765777519671,None,1558.276507286937,None,1559.659870309988,None,blonde,1559.659870309988,None,return,1.1091132409637794,1559.7433728110045,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
sun.wav,sun.mpg,sun,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,94,94,3,,,,,,,,,,,,,,,1560.8766067429679,None,1562.376352352905,None,1563.7599320919253,None,"insect
",1563.7599320919253,None,return,1.5530536939622834,1563.8434428829933,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
bunch.wav,bunch.mpg,bunch,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,95,95,59,,,,,,,,,,,,,,,1565.4266773809213,None,1566.9264252149733,None,1568.309967494919,None,march,1568.309967494919,None,return,1.9312117759836838,1568.393286021892,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
fruit.wav,fruit.mpg,fruit,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,96,96,47,,,,,,,,,,,,,,,1570.3433000899386,None,1571.843077878002,None,1573.2265484218951,None,fruit,1573.2265484218951,None,return,1.4945690620224923,1573.3099283979973,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
burn.wav,burn.mpg,burn,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,97,97,73,,,,,,,,,,,,,,,1574.8267256619874,None,1576.3277902709087,None,1577.7099396389676,None,burn,1577.7099396389676,None,return,3.8431537349242717,1577.7933102789102,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
chump.wav,chump.mpg,chump,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,98,98,69,,,,,,,,,,,,,,,1581.659958862001,None,1583.1763567049056,None,1584.5431779149221,None,chunk,1584.5431779149221,None,return,3.065953869954683,1584.6266148259165,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
roar.wav,roar.mpg,roar,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,99,99,85,,,,,,,,,,,,,,,1587.7101263379445,None,1589.2098139768932,None,1590.593215724919,None,"war
",1590.593215724919,None,return,0.48777748399879783,1590.6766956879292,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
bottle.wav,bottle.mpg,bottle,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,100,100,51,,,,,,,,,,,,,,,1591.1933177049505,None,1592.693158965907,None,1594.0768052329076,None,file,1594.0768052329076,None,return,2.228437562007457,1594.1600524119567,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
chief.wav,chief.mpg,chief,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,101,101,40,,,,,,,,,,,,,,,1596.41011642199,None,1597.9096755359787,None,1599.2933290179353,None,chief,1599.2933290179353,None,return,4.34770900500007,1599.3768257249612,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
tank.wav,tank.mpg,tank,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,102,102,80,,,,,,,,,,,,,,,1603.743375963997,None,1605.2431884359103,None,1606.626623871969,None,tank,1606.626623871969,None,return,0.7904564599739388,1606.710147399921,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
