key1,psAnswer1,accuracyScore
drag,drag,1
bruise,bruise,1
guest,guest,1
blob,blob,1
warmth,warmth,1
dump,dump,1
bee,bee,1
drill,drill,1
goat,goat,1
chick,chick,1
bond,bond,1
dine,dying,0
bend,bend,1
bird,bird,1
gush,gush,1
grasp,grasp,1
funk,funk,1
blush,blush,1
grim,grim,1
grown,grow,0
boat,boat,1
tense,tents,0
dull,doll,0
coy,koi,0
cone,tone,0
calm,calm,1
brown,round,0
dream,dream,1
brisk,brisk,1
cheer,cheer,1
curb,code,0
dig,dig,1
broom,broom,1
snake,snake,1
chart,chart,1
base,base,1
chip,chip,1
dusk,dusk,1
fan,fan,1
two,two,1
freak,feet,0
coach,mosh,0
guard,car,0
friend,friend,1
duke,shoes,0
foam,foam,1
goal,goul,0
chomp,chop,0
greed,greed,1
cell,sell,0
beef,beef,1
carve,glove,0
awe,awe,1
clerk,cook,0
clot,glass,0
chill,chill,1
brow,brow,1
fence,fence,1
faint,feet,0
truck,truck,1
