key1,psAnswer1,accuracyScore
coin,coin,1
gone,gone,1
crisp,crisp,1
spire,spire,1
ghost,ghost,1
cop,cop,1
wet,wet,1
wound,wound,1
guess,guess,1
crash,crash,1
book,book,1
dove,dove,1
foam,phone,0
tense,tense,1
curb,curb,1
bloom,blue,0
drug,drug,1
cloud,cloud,1
cab,cab,1
cart,cart,1
fuse,fuse,1
giant,giant,1
roar,drawer,0
brake,break,0
clown,glow,0
belch,belch,1
dice,dice,1
flat,flat,1
boil,boiled,0
bar,bar,1
fan,fae,0
blood,blood,1
bride,pry,0
cloth,sloth,0
crude,crude,1
curl,curl,1
cup,cup,1
cycle,single,0
blink,blink,1
blaze,praise,0
blimp,blip,0
dusk,risk,0
earn,girl,0
blob,blab,0
catch,lash,0
blond,blind,0
club,flub,0
flush,flush,1
bait,bait,1
beam,blame,0
quit,quest,0
grail,breath,0
grow,row,0
choke,joke,0
dwell,dwell,1
draw,draw,1
grab,drab,0
style,sly,0
beer,brick,0
debt,jet,0
