key1,psAnswer1,accuracyScore
skull,skull,1
fowl,foul,0
ham,ham,1
cleft,cleft,1
glide,glide,1
client,client,1
budge,budge,1
style,style,1
coil,coil,1
fierce,fierce,1
cheap,cheap,1
bow,bow,1
flask,flask,1
fist,fist,1
clad,clad,1
blink,blink,1
cliff,cliff,1
eight,eight,1
folk,folk,1
food,food,1
bat,bat,1
clumps,clubs,0
grave,grave,1
guest,guest,1
flush,flush,1
poll,pull,0
clerk,clerk,1
awe,all,0
tank,tank,1
goal,goal,1
chess,chess,1
curl,girl,0
dual,you,0
groom,groom,1
dock,dock,1
nine,nine,1
coup,coup,1
fail,fail,1
deal,steal,0
check,check,1
greed,green,0
curve,curve,1
chef,shelf,0
row,row,1
fold,fold,1
dot,start,0
tense,test,0
fruit,struddle,0
vest,fast,0
three,three,1
groan,row,0
warmth,warmth,1
chord,cord,0
cat,cat,1
clock,idk,0
break,break,1
bank,pain,0
damn,dam,0
drip,drip,1
fuel,fool,0
