key1,psAnswer1,accuracyScore
flock,flock,1
blue,blue,1
cause,cause,1
born,born,1
fluent,fluent,1
led,lead,0
bar,bar,1
flesh,flash,0
dump,dump,1
client,client,1
bib,bib,1
guest,guest,1
bean,being,0
flask,flask,1
grip,grip,1
squat,squat,1
cross,cross,1
snake,snake,1
bail,bail,1
hike,hiek,0
tense,tense,1
cook,cook,1
roast,roast,1
fowl,foul,0
grin,grin,1
stone,stone,1
flood,fly,0
flair,flare,0
barge,barge,1
desk,desk,1
round,round,1
cruel,cruel,1
stuck,stuck,1
file,file,1
coach,coach,1
flex,flex,1
smack,smack,1
fat,fat,1
grand,grand,1
curb,curb,1
boss,boss,1
pride,grume,0
grave,grave,1
chase,chase,1
ton, ,0
dance,dance,1
poll,poll,1
slick,stain,0
crush,crush,1
fresh,crutch,0
care,care,1
boil,boy,0
bug,buck,0
build,build,1
grow,grow,1
groom,room,0
glare,layer,0
boot, ,0
feed,freeze,0
cap,cap,1
