key1,psAnswer1,accuracyScore
fright,fright,1
fat,fat,1
eye,eye,1
awe,awe,1
flu,flew,0
blink,blink,1
thrown,throw,0
bull,bowl,0
wine,ine,0
snake,snake,1
count,count,1
flock,flock,1
gap,gap,1
fool,fool,1
crate,crate,1
coast,coast,1
jeep,cheap,0
flair,flare,0
ton,ton,1
ease,ease,1
boost,boost,1
dress,dress,1
grill,grill,1
frail,frail,1
beat,beat,1
dirt,dirt,1
frost,frost,1
quest,quest,1
sock,sock,1
draft,draft,1
creep,grip,0
read,read,1
blood,blood,1
bowl,swole,0
bell,bell,1
code,code,1
bag,bike,0
debt,debt,1
roast,roast,1
bleed,leave,0
calm,harm,0
cause,cause,1
truce,truce,1
crowd,crown,0
curse,nurse,0
chef,chef,1
greed,reading,0
paid,pain,0
glove,lent,0
fierce,fierce,1
bench,catch,0
bring,bring,1
clip,clip,1
chick,chain,0
bless,mice,0
globe,glow,0
bruise,bruise,1
squat,cried,0
none,young,0
route,ruin,0
