key1,psAnswer1,accuracyScore
budge,budge,1
built,built,1
bake,bake,1
drunk,drug,0
dig,dig,1
crate,crate,1
please,please,1
chest,chest,1
crop,crop,1
clutch,clutch,1
farm,farm,1
read,read,1
birch,burch,0
dope,dope,1
aunt,aunt,1
bell,bell,1
dare,dare,1
ham,hand,0
dot,do,0
cab,cab,1
doom,doom,1
flock,flocked,0
chill,chill,1
bribe,bribe,1
cried,cried,1
glove,glove,1
grow,grow,1
crust,crust,1
chat,chant,0
brief,breathe,0
fear,fear,1
pride,pride,1
glue,glue,1
brain,red,0
clash,clash,1
camp,camp,1
dread,dread,1
cope,cope,1
bait,baked,0
core,core,1
dusk,duck,0
cramp,cram,0
bite,bite,1
drop,drop,1
sue,soup,0
fund,frey,0
cow,owl,0
crank,crack,0
blur,blur,1
edge,edge,1
flash,flash,1
cute,tools,0
born,warm,0
tank,text,0
clip,clip,1
pants,pants,1
crude,crew,0
fruit,food,0
germ,germ,1
spray,ramp,0
