key1,psAnswer1,accuracyScore
greek,greek,1
greed,greed,1
hit,hit,1
snake,snakle,0
curl,curl,1
swayed,suede,0
guest,guest,1
club,club,1
grass,grass,1
blaze,blaze,1
flank,flank,1
dope,dope,1
fast,fast,1
lie,lie,1
bait,bait,1
bin,bin,1
bride,bride,1
glass,glass,1
grail,grai;,0
grip,grip,1
flake,flake,1
grin,grid,0
stone,stow,0
camp,camp,1
shed,shed,1
blind,blind,1
chump,chum,0
golf,golf,1
glove,glove,1
choke,choke,1
flock,flat,0
traps,traps,1
duct,dot,0
blood,blood,1
flirt,foot,0
giant,giany,0
cult,call,0
grasp,grasp,1
brash,brash,1
wine,why,0
crate,crate,1
cube,cube,1
beard,mirror,0
gum,gum,1
fuss,fuss,1
bowl,bowl,1
blow,blow,1
shut,shut,1
fill,fill,1
cycle,cycle,1
grape,grape,1
float,float,1
buff,buff,1
fraud,far,0
cart,cart,1
green,green,1
count,count,1
foil,foil,1
gown,cow,0
dish,sit,0
