key1,psAnswer1,accuracyScore
groan,grow,0
dove,dove,1
bad,bad,1
bug,bug,1
glare,glare,1
dream,dream,1
base,base,1
drain,drain,1
cab,cab,1
champ,champ,1
cause,cars,0
sock,spcl,0
gaze,gase,0
bleed,bleed,1
chin,chin,1
tense,tense,1
bind,bind,1
broil,royal,0
aunt,ut,0
forth,fourth,0
clutch,clutch,1
click,click,1
glow,glow,1
crime,crime,1
fed,fed,1
gum,gum,1
tear,tear,1
goat,goat,1
wind,wind,1
chord,cord,0
dip,dip,1
crisp,crisp,1
two,two,1
fuel,fuel,1
beat,bit,0
roar,war,0
boss,bus,0
grunt,grunch,0
bloom,bloom,1
blend,blame,0
jam,jam,1
bless,math,0
gap,gap,1
flesh,fletch,0
bulb,blink,0
grill,dream,0
folk,fork,0
bomb,bomb,1
dent,get,0
blame,blame,1
fond,far,0
due,green,0
fresh,far,0
read,rain,0
your,dorm,0
claw,long,0
nine,lie,0
grown,glow,0
choke,choke,1
chase,chess,0
