key2,psAnswer2,accuracyScore
cup,cip,0
smack,smack,1
clash,clash,1
phase,phase,1
brain,brain,1
bound,bound,1
grape,grpae,0
tank,tank,1
cab,cab,1
climb,climb,1
curse,curse,1
slick,slick,1
layer,layer,1
grant,grant,1
crate,crate,1
check,check,1
cloak,cloak,1
eel,be you,0
mars,mars,1
blind,blind,1
cent,set,0
fuse,fuse,1
grown,grow,0
dusk,dusk,1
clam,clam,1
glide,glide,1
dove,dove,1
blink,blink,1
crawl,crawl,1
bless,bless,1
gloom,glue,0
cross,cross,1
bag,egg,0
fate,fate,1
bunch,bunch,1
earn,earth,0
solve,saolve,0
ham,ham,1
blow,row,0
bath,bath,1
toast,toast,1
buy,bye,0
crime,crime,1
bleak,leak,0
thrown,grow,0
fist,pinch,0
fluent,food,0
chill,chill,1
chalk,chonk,0
die,..,0
client,orange,0
bow,bye,0
oats,ant,0
clay,..,0
clean,me,0
grow,..,0
box,fox,0
nine,climb,0
hit,feet,0
blot,rot,0
