key1,psAnswer1,accuracyScore
bass,base,0
druid,druid,1
bleed,bleed,1
gown,gown,1
cross,cross,1
cab,cab,1
batch,batch,1
fate,fate,1
four,for,0
crook,srook,0
frog,frog,1
bell,bell,1
bribe,bribe,1
toast,toast,1
droop,droop,1
dry,dry,1
clue,clue,1
crown,crowd,0
nine,nine,1
stain,stain,1
three,three,1
curse,curse,1
crypt,crypt,1
fist,fist,1
creep,creep,1
cheat,cheat,1
mass,mask,0
duct,dot,0
faith,faith,1
bin,bin,1
axe,ask,0
flask,fast,0
bold,bold,1
drab,drab,1
clean,clear,0
bread,spread,0
edge,edge,1
blood,blood,1
cliff,cliff,1
blur,blurb,0
cleft,laugh,0
drain,strain,0
broke,bowl,0
fright,front,0
cap,cap,1
crack,crack,1
bond,bind,0
grunt,crud,0
gate,gaze,0
crush,crush,1
flip,flip,1
fun,fine,0
dream,dream,1
grill,with,0
ton,knock,0
box,box,1
row,woe,0
flood,fine,0
priest,priest,1
fit,face,0
