key1,psAnswer1,accuracyScore
foul,fou,0
route,root,0
peach,peach,1
warmth,warpth,0
dump,dump,1
chop,chao,0
eye,eye,1
solve,solv,0
tense,tents,0
shock,shock,1
dope,dope,1
chore,chore,1
coal,coai,0
dry,dry,1
bless,bless,1
cause,cause,1
bath,bath,1
broil,broil,1
cat,cat,1
blind,blind,1
grip,grip,1
unit,unit,1
script,stripped,0
eight,ate,0
grab,grand,0
rod,ride,0
broom,broom,1
cap,cap,1
gulp,gulp,1
forth,forth,1
duke,choose,0
folk,folk,1
crank,crank,1
fear,fear,1
flake,flake,1
glow,glow,1
flip,flip,1
glide,glide,1
gun,gun,1
dock,die,0
dance,nice,0
blaze,place,0
dent,set,0
brawl,broad,0
coil,corn,0
bend,bend,1
fund,front,0
fed,fed,1
traps,traps,1
fork,fort,0
cope,dome,0
guilt,yield,0
blank,blank,1
glue,clue,0
calm,calm,1
dumb,slum,0
cleft,cleft,1
drag,try,0
greed,greet,0
chip,chip,1
