key1,psAnswer1,accuracyScore
dent,debt,0
gloom,glue,0
clutch,clutch,1
thrown,throw,0
crook,crook,1
bar,bar,1
cope,cope,1
dumb,dumb,1
beg,beg,1
dress,dress,1
clock,clock,1
fall,fall,1
dance,dance,1
dead,dead,1
glow,glow,1
else,else,1
dream,dream,1
stove,stove,1
east,east,1
bath,bath,1
clam,clam,1
funk,funk,1
clash,clash,1
glare,glare,1
guilt,guilt,1
ton,ton,1
warmth,warmth,1
belt,belt,1
drug,drug,1
toy,toy,1
sock,sock,1
dim,gym,0
dense,damce,0
gap,gap,1
dull,dull,1
bride,ride,0
jam,jam,1
dare,stair,0
grain,grain,1
fresh,fresh,1
bill,bill,1
dial,dial,1
vest,fast,0
jeep,jeep,1
fill,fill,1
dark,dog,0
grind,dry,0
fond,bye,0
shrimp,shrimp,1
bland,bland,1
gem,gem,1
flee,flee,1
drum,drop,0
dive,dive,1
desk,zen,0
built,bit,0
dusk,dust,0
beach,beach,1
giant,giant,1
fly,fly,1
