key2,psAnswer2,accuracyScore
phase,face,0
belch,belch,1
ease,ease,1
vest,best,0
click,click,1
jeep,jeep,1
dual,duo,0
dig,dig,1
bold,bold,1
chew,chew,1
quart,court,0
brake,break,0
blimp,blue,0
greek,greek,1
forth,fork,0
boost,boost,1
flock,flock,1
bass,base,0
dust,dust,1
grill,grill,1
pledge,flush,0
wheat,treat,0
greed,greed,1
chase,chase,1
toast,toast,1
drive,dry,0
bread,bread,1
chow,child,0
gate,gate,1
cult,coat,0
crawl,frog,0
chop,chai,0
germ,jay,0
foot,fork,0
cape,cake,0
clot,frat,0
please,face,0
fill,bill,0
cream,aim,0
bet,bet,1
hike,us,0
gym,jay,0
fly,right,0
dove,duck,0
batch,ash,0
craft,crack,0
crank,toast,0
oats,chase,0
curse,curse,1
fowl,tired,0
glad,red,0
clay,red,0
drunk,rush,0
tank,blush,0
bath,ash,0
groom,dress,0
barn,park,0
pride,fly,0
cloud,drive,0
club,crush,0
