key1,psAnswer1,accuracyScore
shed,shed,1
frost,frost,1
beast,beast,1
flask,flask,1
fool,fool,1
gulf,golf,0
cycle,cycle,1
roast,roast,1
cry,cry,1
wine,wine,1
blot,brought,0
drip,drip,1
draw,draw,1
brick,brick,1
grail,grail,1
crisp,crisp,1
cook,cook,1
craft,craft,1
crew,crew,1
fist,fist,1
croak,croak,1
east,east,1
wild,wild,1
hit,hit,1
dark,dark,1
none,none,1
golf,golf,1
gain,gain,1
fate,fate,1
cause,cause,1
edge,edge,1
snake,snake,1
led,leg,0
thrown,thrown,1
beam,beam,1
cope,cork,0
drab,drab,1
grin,grin,1
dice,dice,1
badge,badge,1
cute,cute,1
chick,chick,1
chase,chase,1
frail,tell,0
boil,win,0
clog,climb,0
bail,bail,1
fill,fill,1
germ,germ,1
fruit,fruit,1
cheap,cheap,1
grow,row,0
guess,guess,1
bridge,bridge,1
belch,bench,0
bust,bus,0
oats,goats,0
bunch,brunch,0
bloat,wrote,0
claw,lock,0
