key1,psAnswer1,accuracyScore
cruel,cruel,1
chalk,chalk,1
chomp,chomp,1
golf,golf,1
crime,crime,1
bar,bar,1
dive,dive,1
burn,burn,1
thief,thief,1
game,game,1
dream,dream,1
gift,gift,1
chump,chump,1
bland,bland,1
badge,badge,1
flat,flat,1
guilt,guilt ,0
clothe,clothe,1
chain,chain,1
club,club,1
built,buildt,0
buff,buff,1
faith,faith,1
feud,feude,0
fetch,fetch,1
fruit,fruit,1
den,dead,0
fade,fade,1
cheap,cheap,1
gang,gang,1
bird,bird,1
roast,roast,1
barge,barge,1
bank,bank,1
base,face,0
flip,flip,1
cone,cone,1
clad,clad,1
gem,gem,1
mars,mars,1
cheat,chixk,0
giant,giant,1
druid,dewy,0
foam,foam,1
card,card,1
beige,beige,1
dense,nights,0
creep,drape,0
ask,ask,1
paid,paid,1
bail,mail,0
draft,draft,1
blot,blocked,0
droop,droop,1
lead,lake,0
fail,fail,1
fly,flat,0
fast,gast,0
bloom,blue,0
bowl,bull,0
