key1,psAnswer1,accuracyScore
cross,cross,1
pact,packed,0
teen,teen,1
bank,bank,1
bread,bread,1
traps,traps,1
greek,greek,1
else,else,1
food,food,1
tomb,two,0
pride,prime,0
blur,blur,1
ham,ham,1
chore,chore,1
cope,cope,1
bag,beg,0
broad,broad,1
castle,castle,1
base,base,1
tense,tense,1
fill,film,0
cruel,cruel,1
clock,clock,1
gag,gag,1
fate,fate,1
flex,flex,1
row,road,0
slick,slick,1
fun,fun,1
mars,mars,1
crook,crook,1
foul,foul,1
creep,creep,1
smack,smell,0
belt,belt,1
quit,quit,1
code,coal,0
bring,brim,0
coy,core,0
glide,glide,1
dull,dull,1
blend,blend,1
chalk,chalk,1
frail,fell,0
chess,chess,1
block,blunt,0
cheat,cheat,1
cloud,cloud,1
wet,what,0
crop,trap,0
booth,booth,1
birch,butch,0
burn,purr,0
file,fell,0
hug,heart,0
tart,touch,0
swan,dwell,0
cheek,cheat,0
spire,smile,0
bet,nut,0
