key1,psAnswer1,accuracyScore
castle,castle,1
break,break,1
fresh,fresh,1
pact,packed,0
grasp,grasp,1
cape,cape,1
ball,ball,1
bag,bag,1
news,news,1
blink,blink,1
gray,grey,0
cop,cop,1
stuck,stuck,1
chore,chore,1
crook,crook,1
flair,flare,0
solve,solve,1
fowl,fowl,1
curve,curve,1
bright,bright,1
bleak,sleek,0
bottle,bottle,1
chain,chain,1
crack,crack,1
style,style,1
flick,flick,1
quit,quit,1
bed,bed,1
fable,fable,1
giant,giant,1
buff,bottle,0
swamp,swamp,1
coin,coy,0
bless,bless,1
toast,toast,1
drum,drop,0
brash,brush,0
dial,diet,0
clot,clasp,0
due,due,1
fall,wrong,0
clad,nat,0
drag,strag,0
sue,sue,1
float,dont,0
fail,fail,1
tear,nair,0
chow,chow,1
shed,jen,0
draw,draw,1
mold,mary,0
toy,short,0
awe,ah,0
build,spill,0
priest,spritx,0
flake,spritz,0
draft,dry,0
brown,wow,0
drab,strap,0
gum,gulp,0
