key2,psAnswer2,accuracyScore
calm,calm,1
weep,weak,0
grave,grave,1
chip,chip,1
catch,catcj,0
film,film,1
flesh,flesh,1
glide,glide,1
foul,foul,1
cuff,cuff,1
flood,blood,0
grin,grin,1
goose,goose,1
blunt,blunt,1
clash,clash,1
chew,chew,1
brash,brash,1
globe,glow,0
giant,giant,1
bathe,bathe,1
awe,all,0
tomb,chill,0
droop,droop,1
blur,blur,1
flash,flash,1
fierce,fierce,1
frail,frail,1
gab,gale,0
gift,gift,1
cloth,claw,0
bug,bug,1
fresh,fresh,1
egg,egg,1
deed,glee,0
fund,charge,0
duet,duet,1
ditch,dish,0
tool,tool,1
toy,toy,1
bread,bread,1
dim,dim,1
brand,rain,0
foot,butch,0
dash,dash,1
fluent,green,0
due,do,0
swamp,wine,0
forth,toy,0
script,sift,0
buff,fine,0
strive,sky,0
cord,more,0
flag,life,0
flaw,long,0
clay,flash,0
fence,light,0
pop,hot,0
gut,not,0
drink,ditcj,0
chase,gist,0
