key1,psAnswer1,accuracyScore
flea,flee,0
fuel,fuel,1
beard,beard,1
bless,bless,1
choir,choir,1
fail,fail,1
chop,chap,0
bone,bonw,0
film,film,1
bell,bell,1
dust,dust,1
crown,crown,1
boss,floss,0
blend,bled,0
croak,croak,1
bull,bull,1
wine,wine,1
drive,drive,1
chord,cord,0
sock,sock,1
bun,bun,1
gut,gut,1
bible,bible,1
brand,brand,1
claw,claw,1
check,check,1
pledge,pledge,1
freeze,freeze,1
cloak,cloak,1
bread,bread,1
cold,cold,1
grip,grip,1
grow,grow,1
lie,lie,1
fruit,fruit,1
boat,boat,1
bite,bite,1
count,pout,0
phase,phase,1
drab,drab,1
firm,from,0
crush,crush,1
boil,boy,0
den,day,0
faint,faint,1
chalk,chalk,1
funk,fun,0
crow,crow,1
mass,mass,1
grand,grand,1
cone,go,0
pact,pat,0
peach,pinch,0
bank,pay,0
dump,dump,1
build,build,1
castle,castle,1
built,built,1
swamp,swamp,1
chant,jet,0
