key1,psAnswer1,accuracyScore
blot,blot,1
bridge,bridge,1
blunt,blunt,1
cone,cole,0
flog,flog,1
dare,dare,1
guard,guard,1
round,round,1
boost,boost,1
cheek,cheek,1
ghost,ghost,1
chief,chief,1
foil,foil,1
flesh,flesh,1
bend,bend,1
hit,hit,1
dine,dine,1
belt,belt,1
bow,bow,1
bound,bound,1
flee,flea,0
duct,duct,1
bond,bond,1
bear,bear,1
fault,fault,1
bruise,bruise,1
bride,bride,1
fleet,fleet,1
gym,gym,1
buzz,buzz,1
vest,vest,1
chin,chair,0
dream,dream,1
wind,wind,1
firm,firm,1
quart,quart,1
bad,bad,1
drab,dry,0
wheat,whit,0
dig,dig,1
crawl,crawl,1
fuel,fool,0
fetch,fetch,1
flight,flight,1
birth,birth,1
tank,tech,0
deem,deem,1
depth,depth,1
feud,few,0
fork,fork,1
dog,jon,0
drop,drop,1
bind,mind,0
bag,mad,0
bib,bib,1
coup,coo,0
buff,buff,1
fluent,flew,0
brand,braid,0
cake,kate,0
