key1,psAnswer1,accuracyScore
live,live,1
bail,bail,1
pants,pants,1
bulb,bulb,1
buff,buff,1
greek,greek,1
drug,drug,1
cough,cough,1
none,none,1
fright,fright,1
fail,fai;,0
gross,gross,1
cube,que,0
grin,grin,1
food,food,1
bust,bust,1
dive,dive,1
fake,fake,1
buzz,buzz,1
chart,chart,1
cleft,cleft,1
cloth,cloth,1
clown,clown,1
germ,joe,0
game,game,1
grunt,hut,0
globe,globe,1
blank,blank,1
coin,coil,0
grant,grant,1
cheer,chin,0
bun,bun,1
dice,dice,1
strive,strive,1
dune,dune,1
bond,buy,0
coil,coil,1
grail,grail,1
fried,ride,0
boil,boil,1
fade,fake,0
gem,gem,1
fork,fork,1
badge,bash,0
flush,flush,1
bay,bang,0
cap,cap,1
glove,glove,1
blind,blind,1
news,use,0
frail,del,0
shrimp,trip,0
grim,shrimp,0
leapt,left,0
brick,bick,0
eat,eat,1
gum,gum,1
thief,fish,0
sake,knee,0
bag,black,0
