key1,psAnswer1,accuracyScore
crack,crack,1
box,box,1
green,green,1
bold,bold,1
bust,bust,1
rod,rod,1
crank,crank,1
dine,dime,0
grunt,grunt,1
farm,farm,1
deal,deal,1
grin,grin,1
cream,cream,1
film,film,1
crash,crash,1
guess,guess,1
clumps,clubs,0
droop,droop,1
bird,bird,1
glare,glare,1
brain,rain,0
bloat,bloat,1
rent,rent,1
cramp,cramp,1
row,road,0
gloom,g;oom,0
frame,frame,1
layer,layer,1
dig,dig,1
led,bled,0
break,break,1
curl,curl,1
grade,granny,0
gab,gam,0
tank,tank,1
fall,fa;;,0
crowd,crowd,1
jam,jam,1
cap,ha[,0
bride,bride,1
float,float,1
blunt,blunt,1
freeze,fins,0
dread,dread,1
flaw,flaw,1
flick,f;ick,0
chat,chat,1
eight,eight,1
guest,guest,1
beg,play,0
count,mouth,0
ton,knudge,0
bleed,breed,0
gem,jump,0
sun,set,0
bag,blame,0
born,bored,0
brew,brew,1
flu,fool,0
bell,bell,1
