key1,psAnswer1,accuracyScore
fuss,fuss,1
eye,eye,1
priest,priest,1
flop,flop,1
quart,quart,1
dog,dog,1
flock,flocl,0
clad,clad,1
flu,flew,0
duck,duck,1
fail,fail,1
chord,chord,1
clerk,cook,0
bun,bun,1
golf,golf,1
bath,bath,1
crisp,crisp,1
flog,fog,0
chow,chow,1
fool,fool,1
belt,belt,1
fault,fault,1
cane,cane,1
wild,wild,1
broad,braod,0
rent,rent,1
gush,gush,1
globe,globe,1
cloak,cloak,1
folk,folk,1
dense,dents,0
cliff,cliff,1
bribe,bribe,1
gloom,gloom,1
blend,dust,0
wear,whale,0
drop,drop,1
coup,coo,0
coast,host,0
frog,frog,1
wound,deed,0
damp,damp,1
beam,me,0
wet,wet,1
cart,cars,0
core,core,1
strike,trend,0
drunk,drunk,1
sake,sit,0
catch,cash,0
birch,bird,0
swayed,tray ,0
mold,malt,0
dull,doll,0
gab,gap,0
bear,bear,1
book,book,1
dip,dip,1
truce,truce,1
chest,chest,1
