key1,psAnswer1,accuracyScore
grunt,grunt,1
beat,beat,1
cope,cope,1
drive,drive,1
fist,fist,1
bathe,bathe,1
cloak,cloack,0
fierce,fierce,1
beast,beast,1
curve,curve,1
bare,bear,0
earn,earn,1
chest,chest,1
cone,cold,0
clap,clap,1
chant,chant,1
tear,tear,1
duke,duke,1
bin,bin,1
blond,blonde,0
bow,bow,1
carve,carve,1
ton,ton,1
thrown,throw,0
bias,bias,1
germ,germ,1
glove,glove,1
crush,crush,1
flair,flare,0
barge,bardge,0
eye,eye,1
cube,cube,1
belt,belt,1
beef,beef,1
gum,gum,1
bird,bird,1
shrimp,shrimp,1
drug,drug,1
gift,gift,1
gain,gale,0
chomp,chomp,1
birch,birch,1
hug,heart,0
pledge,pledge,1
bat,mat,0
freak,free,0
stuck,stuck,1
bath,bath,1
clog,clog,1
card,card,1
dwell,realm,0
smack,spent,0
axe,ask,0
club,club,1
clerk,look,0
castle,hazard,0
burn,burn,1
gash,gash,1
duck,duck,1
choke,choke,1
