key1,psAnswer1,accuracyScore
blank,blank,1
oats,oats,1
gang,gang,1
blunt,blood,0
bull,ball,0
boss,boss,1
cape,cap,0
bye,bye,1
tear,tear,1
flush,flusj,0
blow,blow,1
film,film,1
green,green,1
strive,strive,1
unit,unit,1
crate,crait,0
fun,fun,1
clutch,clutch,1
cube,cute,0
floor,floor,1
flog,frog,0
cheer,cheer,1
clash,clash,1
chant,char,0
dot,dot,1
ton,tounge,0
rid,red,0
dump,dump,1
thorn,thorn,1
blimp,blimp,1
swan,swang,0
glad,glad,1
chill,chill,1
block,black,0
dirt,dirty,0
faith,faith,1
dig,dig,1
foil,foil,1
bible,bible,1
draw,draw,1
glide,glide,1
dove,dove,1
crude,cool,0
beam,beep,0
thief,theif,0
cab,cab,1
gift,gift,1
wind,waste,0
grail,crawl,0
client,lion,0
chump,shop,0
thrown,throw,0
bind,bye,0
wet,wet,1
squat,scratch,0
bow,bow,1
clad,glide,0
flop,flop,1
foot,wrist,0
brown,browm,0
