key1,psAnswer1,accuracyScore
crisp,crisp,1
dirt,dirt,1
crate,crate,1
round,round,1
blow,blow,1
chin,chin,1
grant,grant,1
glass,glass,1
coup,coup,1
fan,fan,1
peach,peach,1
fuse,fuse,1
quest,quest,1
toy,toy,1
flake,flake,1
golf,golf,1
curve,curve,1
dwell,dwell,1
flu,flew,0
gaze,gaze,1
pop,poppe,0
strive,strive,1
feed,feed,1
beach,beach,1
earth,earth,1
lost,lost,1
bride,bride,1
slush,slush,1
blot,blot,1
ease,ease,1
gulp,gulp,1
brief,brief,1
damp,damp,1
doom,doom,1
cop,cop,1
glue,glue,1
brawl,broad,0
clip,clip,1
pride,pride,1
bass,base,0
blood,blood,1
cheap,cheap,1
flat,flat,1
beg,beg,1
drive,drive,1
dive,dive,1
gun,gun,1
blame,blame,1
crust,crust,1
bottle,bile,0
goose,use,0
camp,kept,0
cart,cart,1
crow,crow,1
strike,struck,0
tense,test,0
vest,fact,0
code,go,0
eat,eat,1
budge,budge,1
