key1,psAnswer1,accuracyScore
guide,guide,1
blend,blend,1
claw,claw,1
tense,tense,1
curve,curve,1
grail,gill,0
bench,bench,1
fine,fine,1
bad,bad,1
fog,fog,1
champ,champ,1
cheat,cheat,1
dune,doom,0
swayed,swade,0
cramp,cramp,1
flea,flea,1
bet,bat,0
nice,nice,1
grade,grade,1
bin,nig,0
crane,crang,0
built,built,1
teen,tea,0
mold,bald,0
green,green,1
foot,foot,1
wild,wild,1
cow,cow,1
grip,grip,1
gown,how,0
drag,drag,1
blood,blood,1
fly,lime,0
gate,gate,1
skull,scall,0
brand,brand,1
cloth,cloth,1
gift,gift,1
budge,budge,1
cork,cork,1
fruit,fruit,1
cleft,clef,0
fur,fur,1
coil,coil,1
fowl,found,0
fund,find,0
cold,cold,1
damn,damp,0
sake,sink,0
dice,dice,1
crowd,crowd,1
beach,beach,1
swamp,swam,0
axe,ask,0
blunt,blunt,1
blimp,blimp,1
den,gal,0
grunt,grut,0
drive,drive,1
your,gruel,0
