key1,psAnswer1,accuracyScore
fate,fate,1
beige,beige,1
broil,broil,1
tear,tear,1
drunk,drunk,1
chill,chill,1
drill,drill,1
bye,bye,1
crawl,crawl,1
grown,grow,0
cleft,cleft,1
gain,gay,0
bind,bind,1
boss,boss,1
sake,snake,0
dull,doll,0
die,die,1
dare,dare,1
coin,coy,0
bar,barb,0
snake,snake,1
cash,cash,1
jeep,jeep,1
flaw,raw,0
beg,beg,1
barge,barge,1
grunt,grunt,1
golf,golf,1
dial,dial,1
rid,grid,0
bench,bench,1
nine,nine,1
firm,from,0
bunch,bunch,1
edge,edge,1
pike,pike,1
gloom,gloom,1
bed,bend,0
cheek,cheat,0
dot,diet,0
club,club,1
crack,crack,1
glow,glow,1
film,film,1
due,jew,0
blimp,blimp,1
croak,choke,0
groom,groom,1
bowl,boom,0
chalk,chalk,1
bat,mask,0
fan,fan,1
cease,seat,0
dry,dry,1
crate,crete,0
deck,let,0
duke,juke,0
grail,rail,0
drab,drab,1
boil,womb,0
