key1,psAnswer1,accuracyScore
clap,clap,1
pike,pike,1
chunk,chunk,1
drunk,drunk,1
champ,champ,1
bald,bald,1
tomb,two,0
bay,bae,0
drum,drum,1
crew,crew,1
flaw,vla,0
pipe,pipe,1
broad,broad,1
beg,beg,1
fraud,fraud,1
bound,bound,1
bush,brush,0
bruise,bruise,1
click,click,1
clash,clash,1
dive,dive,1
goat,goat,1
cross,cross,1
dot,dot,1
earth,earth,1
foil,foil,1
drab,grab,0
forth,fourth,0
dense,dense,1
bowl,bowl,1
chant,chant,1
bell,bell,1
wheat,wait,0
deem,deem,1
cease,cease,1
cruel,cruel,1
fierce,first,0
wind,wait,0
film,film,1
brake,break,0
flex,ligh,0
dull,gaurd,0
grow,row,0
crook,crook,1
read,we,0
round,wound,0
bear,bear,1
flair,flare,0
clue,clue,1
east,east,1
clip,clip,1
fake,fake,1
dump,dump,1
blond,flight,0
quart,horse,0
grand,crayon,0
brain,way,0
duck,duck,1
gap,nap,0
date,dik,0
