key1,psAnswer1,accuracyScore
blast,blast,1
foul,foul,1
bad,band,0
blush,blush,1
rid,rid,1
gem,gem,1
fool,fool,1
eight,ate,0
bloat,bloat,1
clay,clay,1
bar,bar,1
coy,koi,0
buff,buff,1
clash,clash,1
fast,fast,1
boost,boost,1
bulb,bulb,1
gram,gram,1
egg,egg,1
crank,crank,1
drug,drug,1
blank,bike,0
route,root,0
else,else,1
clerk,cook,0
bull,bull,1
crown,crown,1
dull,dull,1
bread,red,0
block,block,1
eel,eel,1
bleed,leave,0
cow,cow,1
germ,germ,1
bath,bath,1
dash,dash,1
creep,creep,1
clock,clock,1
weep,weep,1
doom,dune,0
crate,crate,1
fund,start,0
live,hill,0
glow,glow,1
gum,gum,1
cheer,cheer,1
chick,chick,1
crawl,frog,0
freeze,freeze,1
guess,guess,1
tomb,tool,0
bill,pill,0
chat,chat,1
gas,yes,0
dead,dead,1
flask,fast,0
build,built,0
tank,net,0
grow,grow,1
bunch,bush,0
