key1,psAnswer1,accuracyScore
client,client,1
tart,tarte,0
deal,deal,1
stone,stone,1
chip,chip,1
glass,glass,1
cuff,cuff,1
drop,drop,1
awe,awe,1
bare,bear,0
thief,thief,1
bill,bill,1
duet,duet,1
boat,boat,1
brash,brash,1
dope,dope,1
fix,fix,1
chill,chill,1
faint,faint,1
script,script,1
due,do,0
cloud,cloud,1
cab,cab,1
chase,chase,1
crop,crumb,0
broom,broom,1
fuel,fuel,1
stove,stove,1
earn,earn,1
poll,pole,0
flex,reflect,0
cape,cape,1
film,film,1
cart,cart,1
bring,brim,0
glue,glue,1
bait,bait,1
groom,groom,1
smack,smack,1
golf,gol,0
roar,roll,0
bat,bat,1
gap,gap,1
flank,flank,1
dwell,dwell,1
fierce,fierce,1
blue,bloom,0
fail,fai;,0
fame,fame,1
bomb,bomb,1
book,book,1
creep,dream,0
fifth,filth,0
grab,crab,0
crawl,growl,0
clash,lash,0
grown,grow,0
buff,buff,1
warmth,warmth,1
drum,drum,1
