key1,psAnswer1,accuracyScore
blunt,blunt,1
bare,bear,0
chill,chill,1
crow,crow,1
strike,strike,1
fuse,fuse,1
flop,flo[,0
chin,chin,1
steam,steam,1
blank,blank,1
peach,peach,1
flu,flew,0
chick,chick,1
read,read,1
beige,beige,1
brew,brew,1
freak,freak,1
farm,farm,1
broom,broom,1
brag,brag,1
dock,duck,0
stuck,stuck,1
ton,ton,1
clog,clog,1
gas,guess,0
float,float,1
fuel,fuel,1
grow,gorw,0
drum,drum,1
chore,chore,1
broad,rod,0
gap,gap,1
mass,mess,0
gloom,glue,0
chase,chase,1
gag,gag,1
drug,drug,1
boil,boil,1
cramp,cramp,1
gray,ray,0
bail,bear,0
traps,traps,1
bald,ball,0
bay,bay,1
unit,do it,0
shed,change,0
shut,shut,1
gate,gate,1
carve,carve,1
choir,quail,0
flag,flag,1
lost,lost,1
badge,bash,0
claw,law,0
hit,hit,1
cough,cough,1
gym,gyn,0
curve,curve,1
dig,dance,0
crawl,crawl,1
