key1,psAnswer1,accuracyScore
bean,bean,1
led,lead,0
your,your,1
bench,bench,1
blur,blur,1
grind,grind,1
bruise,bruise,1
coach,coach,1
deck,declk,0
ball,bow,0
pact,pat,0
bible,bibler,0
fool,fool,1
gone,gone,1
badge,badge,1
green,green,1
gift,gift,1
drink,drink,1
dine,dine,1
dock,duck,0
drab,trap,0
floor,door,0
dread,dread,1
beer,beer,1
shut,shut,1
unit,unit,1
gang,gat,0
bend,bend,1
bye,bye,1
duct,duct,1
blind,blind,1
bomb,"bio,",0
curb,curb,1
tomb,two,0
jeep,cheao,0
crew,curb,0
ban,ban,1
paid,pay,0
clumps,close,0
bass,base,0
pride,way,0
boil,boy,0
crypt,grape,0
doom,do,0
crush,crush,1
champ,champ,1
beard,beer,0
gum,gum,1
count,count,1
chunk,chuckle,0
feast,fis,0
flee,flee,1
cheer,cheer,1
brief,brief,1
glide,slide,0
beat,beat,1
chef,chef,1
file,flag,0
grab,drive,0
crowd,crown,0
