key1,psAnswer1,accuracyScore
nine,nine,1
mars,mars,1
cry,cry,1
flirt,flirt,1
fine,fine,1
tart,tart,1
curl,curl,1
dash,dash,1
chef,chef,1
drab,drab,1
shed,shed,1
grunt,grunt,1
ghost,ghost,1
flaw,flaw,1
guilt,guilt,1
glow,glow,1
cheat,cheat,1
base,base,1
blob,blob,1
crude,crude,1
buy,by,0
dog,dog,1
cough,cough,1
gaze,gaze,1
blot,brunt,0
eat,eat,1
ball,ball,1
cried,cried,1
box,box,1
fit,fit,1
drum,drum,1
fish,fish,1
brain,brave,0
stain,stain,1
boost,boost,1
blast,blast,1
fade,fade,1
crawl,troll,0
desk,desk,1
your,your,1
bail,bail,1
choke,choke,1
toy,short,0
game,game,1
belt,belt,1
drip,drip,1
stuck,mistake,0
calm,calm,1
chore,chore,1
dive,dive,1
barn,bard,0
beg,bake,0
duet,drone,0
wine,why,0
bend,bake,0
two,to,0
groan,road,0
smack,respect,0
doom,do,0
cord,juuk,0
