key1,psAnswer1,accuracyScore
foam,foam,1
ban,ban,1
foil,foil,1
care,care,1
grown,grow,0
guilt,guilt,1
bathe,bathe,1
brain,brain,1
phase,phase,1
lie,lie,1
blade,blade,1
fast,fast,1
date,date,1
feast,feast,1
bat,bat,1
flood,flood,1
fan,fan,1
nice,nice,1
beige,beige,1
row,row,1
leapt,leapt,1
gym,gym,1
flaw,flaw,1
cook,cook,1
bet,bat,0
drain,drain,1
gang,gay,0
brag,brag,1
flesh,flush,0
feud,feud,1
gloom,glue,0
grief,grief,1
clock,clock,1
flight,flight,1
flank,flake,0
brash,brush,0
cease,seats,0
please,please,1
bloom,blue,0
bait,bait,1
flag,flag,1
peach,beach,0
cough,cough,1
crude,queen,0
glide,glide,1
edge,edge,1
gap,gap,1
gray,gray,1
brown,bow,0
dope,joke,0
ear,heal,0
mold,balls,0
chase,chase,1
strive,strap,0
green,three,0
hug,heart,0
drag,drag,1
depth,depth,1
crowd,crowd,1
wear,way,0
