key1,psAnswer1,accuracyScore
bean,bean,1
booth,booth,1
crude,crude,1
chalk,chalk,1
four,four,1
fuse,fuse,1
thief,thief,1
rod,rod,1
bible,bible,1
chess,chess,1
dawn,door,0
goat,goat,1
fame,fame,1
dope,dope,1
bind,bind,1
ban,ban,1
three,three,1
flea,flee,0
gust,gust,1
barge,barge,1
bare,bear,0
client,client,1
bust,bust,1
fix,fix,1
coy,koi,0
cow,cow,1
earth,earth,1
swayed,suede,0
clown,clown,1
ham,ham,1
cult,cult,1
date,date,1
club,club,1
ditch,ditch,1
brew,brew,1
crush,crush,1
led,let,0
burn,bird,0
beat,beat,1
east,least,0
draw,draw,1
bribe,buy,0
edge,edge,1
flex,flex,1
foam,foam,1
dice,sesh,0
spray,sping,0
crash,crash,1
hit,hit,1
gram,gram,1
cloak,cloak,1
ghost,ghost,1
flush,flush,1
dark,dog,0
shut,shut,1
dad,sad,0
sock,sock,1
gain,gain,1
chef,chef,1
blob,blibe,0
