key1,psAnswer1,accuracyScore
bin,bom,0
coin,coin,1
bowl,bow;,0
grass,grass,1
blink,blink,1
sue,sue,1
awe,awe,1
bend,bend,1
weep,wea],0
drink,drink,1
chore,chore,1
grief,grief,1
draft,draft,1
broil,broil,1
layer,layer,1
gush,gush,1
bear,bare,0
bye,buiyt,0
cruel,coo;,0
cane,cane,1
wind,omd,0
fist,fist,1
film,film,1
unit,unit,1
glass,glass,1
roar,raur,0
dumb,dum,0
nine,mome,0
beard,beard,1
dot,dot,1
dock,socl,0
fool,fool,1
grim,grape,0
crypt,cript,0
route,woot,0
fear,feer,0
badge,hnadne,0
bag,bike,0
bite,ight,0
dune,oo,0
druid,jewel,0
bank,pak,0
earn,earn,1
blend,blate,0
snake,snake,1
boot,boot,1
fun,floot,0
bean,bean,1
wheat,wjeat,0
cat,na,0
cope,cope,1
die,sigh,0
pride,rju,0
clue,cliue,0
batch,match,0
float,float,1
blond,flood,0
lost,lot,0
clot,nat,0
groom,foon,0
