key1,psAnswer1,accuracyScore
guess,guess,1
duet,duet,1
bomb,bomb,1
damp,damp,1
pants,pants,1
bay,bay,1
climb,limb,0
wine,wine,1
flirt,flirt,1
gate,gate,1
cap,cap,1
blob,blob,1
dig,dig,1
drunk,drubk,0
gloom,gloom,1
wind,wind,1
card,card,1
beat,beat,1
rod,ride,0
germ,germ,1
fowl,foam,0
date,date,1
drag,drag,1
grab,grab,1
grand,grand,1
bald,bald,1
feud,feud,1
fault,faul,0
cough,cough,1
glove,glove,1
bruise,bruise,1
blunt,blunt,1
ditch,ditch,1
chunk,chalk,0
debt,debt,1
wear,where,0
flick,flake,0
clam,clam,1
grape,grape,1
client,client,1
cheat,cheat,1
guard,guard,1
clumps,clubs,0
dial,dial,1
bun,bun,1
catch,catch,1
quit,quit,1
thrown,throw,0
oats,oat,0
bake,bake,1
fifth,filth,0
fierce,first,0
tool,tool,1
cult,cult,1
grunt,crate,0
truck,trunk,0
dip,dip,1
pike,bike,0
fraud,fraud,1
dirt,shirt,0
