key1,psAnswer1,accuracyScore
fifth,fifth,1
tomb,tume,0
fame,fame,1
fake,fake,1
wheat,wait,0
boat,boat,1
brake,break,0
bad,bad,1
wind,wind,1
spray,spray,1
blot,blut,0
ban,ban,1
bless,bless,1
firm,firm,1
fill,fill,1
teen,teen,1
cane,cane,1
stuck,stuck,1
ghost,ghost,1
bloat,bloat,1
chore,chore,1
faith,faith,1
fund,front,0
cough,cough,1
clog,climb,0
budge,bunch,0
dwell,dwell,1
fence,fence,1
cease,cease,1
pop,pot,0
cross,cross,1
grief,grief,1
round,whale,0
blast,blessed,0
cult,cluts,0
flee,flee,1
wine,why,0
tool,tools,0
sock,sock,1
grade,gray,0
buff,bush,0
pike,paint,0
droop,droop,1
chunk,chuck,0
dump,dump,1
clay,lay,0
strive,strive,1
blade,blink,0
drag,drag,1
flask,frat,0
chew,chew,1
badge,bash,0
wear,wet,0
doom,doom,1
dead,death,0
spire,bite,0
dry,dry,1
rid,wait,0
guest,yes,0
chick,chick,1
