key1,psAnswer1,accuracyScore
clay,clay,1
dot,dot,1
stain,stain,1
choir,quare,0
crowd,crowd,1
cone,comb,0
groom,groom,1
cloud,cloud,1
dusk,dusk,1
leapt,lept,0
brisk,brisk,1
rid,ready,0
fit,fit,1
four,four,1
fill,fill,1
glow,glow,1
mars,nars,0
bold,bold,1
led,led,1
fad,fad,1
bald,bald,1
grind,grind,1
flick,flick,1
fish,fish,1
card,card,1
grim,grim,1
quart,quart,1
bone,bon,0
cube,cube,1
cow,cow,1
carve,carve,1
pipe,pipe,1
bad,bad,1
cash,casg,0
bulb,bulb,1
box,box,1
fat,fat,1
bring,bring,1
greek,greek,1
gloom,glue,0
bee,bee,1
gem,gem,1
bill,bill,1
doll,doll,1
bench,bench,1
draft,draft,1
deed,leam,0
frost,frost,1
claw,claw,1
bye,bye,1
dial,dire,0
buzz,buzz,1
fist,fist,1
grass,grass,1
spire,spider,0
fall,fall,1
deck,sex,0
dull,skull,0
glide,glide,1
feed,fox,0
