key1,psAnswer1,accuracyScore
sake,sick,0
blond,blood,0
clock,clock,1
mass,mass,1
dull,doll,0
chop,chap,0
client,client,1
bias,bias,1
flip,flip,1
pike,pike,1
grave,grave,1
blood,blood,1
damp,damp,1
bald,bald,1
grand,grand,1
mars,mars,1
tomb,two,0
food,food,1
fluff,fluff,1
dance,dance,1
wheat,wait,0
grail,grail,1
wind,wind,1
bench,bench,1
jeep,jeep,1
greek,greek,1
script,script,1
champ,champ,1
bed,bed,1
blast,blast,1
cheap,cheap,1
barn,party,0
flex,flight,0
clown,loud,0
swamp,swamp,1
sue,soon,0
bone,broke,0
glare,liar,0
dope,dope,1
count,count,1
code,cone,0
fame,fame,1
chew,chew,1
cry,car,0
gloom,crew,0
crust,great,0
gulp,gulp,1
toast,chose,0
rod,ride,0
freeze,freeze,1
bruise,woo,0
cloak,low,0
birth,money,0
beach,beach,1
crook,cold,0
droop,group,0
coy,toy,0
bib,bib,1
glad,lie,0
roar,word,0
