key1,psAnswer1,accuracyScore
traps,traps,1
brand,brand,1
fast,fast,1
debt,debt,1
blink,blink,1
dot,dot,1
route,root,0
dock,dock,1
beer,beer,1
curse,curse,1
clutch,clutch,1
drop,drop,1
dumb,dumb,1
clam,clam,1
clock,clock,1
rod,rod,1
coach,coach,1
clog,clog,1
climb,climb,1
chat,chat,1
bow,bow,1
fake,fake,1
awe,all,0
coin,coin,1
dope,dope,1
foam,foam,1
drive,drive,1
dash,dash,1
bone,bone,1
cruel,cruel,1
paid,pay,0
strive,strive,1
flake,fake,0
goal,goal,1
cake,cake,1
glass,glass,1
grief,grief,1
ton,tounge,0
flee,flee,1
chess,chess,1
eat,it,0
crook,crook,1
friend,friend,1
frost,frost,1
grill,grill,1
brash,brash,1
faith,faith,1
freak,free,0
gem,gem,1
grunt,crut,0
goat,goat,1
brain,bed,0
brow,brow,1
phase,face,0
faint,fence,0
fluent,viewer,0
guide,night,0
pipe,bape,0
stone,snow,0
dirt,truce,0
