key1,psAnswer1,accuracyScore
freeze,freeze,1
groan,grow,0
gross,gross,1
dance,dance,1
bass,base,0
earn,earn,1
draw,draw,1
buff,buff,1
gray,grey,0
flight,flight,1
cross,cross,1
cling,cling,1
drab,drag,0
wear,weat,0
clay,clang,0
peach,peach,1
cramp,cramp,1
box,bugs,0
bee,big,0
shut,shut,1
gab,gap,0
damp,damp,1
style,style,1
gust,gust,1
strike,stretch,0
chore,troy,0
fit,fit,1
squat,squat,1
coil, ,0
fierce,fierce,1
fix,fix,1
gift,gift,1
buzz,buzz,1
fear,fear,1
grip,grip,1
druid,jewelry,0
dish,dish,1
choir,quiet,0
glare,clair,0
steam,steam,1
ask,asking,0
ball,ball,1
strive,str,0
grab,grab,1
belt,met,0
chip,chip,1
phase,face,0
bath,math,0
feast,feet,0
brick,brick,1
flog,fog,0
crust,crust,1
grant,cross,0
flesh,flash,0
pop,mop,0
crime,crime,1
carve,love,0
ease,tease,0
dwell,dwell,1
cruel,cool,0
