key1,psAnswer1,accuracyScore
chain,chain,1
coil,coil,1
grain,grain,1
beg,bag,0
coup,coo,0
snake,snake,1
please,please,1
crane,crane,1
bottle,bottle,1
fold,fold,1
blunt,blunt,1
belt,belt,1
blade,blade,1
cup,cup,1
ask,ask,1
freeze,freeds,0
steam,steam,1
bee,bee,1
leapt,leapt,1
clutch,clutch,1
crawl,crawl,1
green,green,1
dune,do,0
blot,blocked,0
floor,floor,1
dip,dip,1
bet,t,0
burn,bur,0
grief,grieve,0
fifth,fifth,1
golf,golf,1
blank,blank,1
glove,glove,1
lost,lost,1
clip,clip,1
bench,bench,1
cope,hope,0
curve,heard,0
broom,broom,1
fresh,fresh,1
clog,cloud,0
flag,clloud,0
chase,chase,1
bell,bell,1
damp,damp,1
cane,plane,0
fried,fry,0
dad,sad,0
booth,booth,1
clad,clad,1
draw,draw,1
cell,celll,0
flash,flash,1
bloom,blue,0
crisp,crisp,1
grasp,crass,0
coal,core,0
brain,bare,0
bunch,burn,0
gain,name,0
