key1,psAnswer1,accuracyScore
brash,brush,0
boat,boat,1
chief,chief,1
beef,beef,1
file,file,1
flow,flow,1
ask,ask,1
flair,flair,1
blot,blocked,0
bait,baked,0
flop,flop,1
strive,strive,1
dirt,dirt,1
creek,creek,1
cycle,cycle,1
deal,deal,1
cook,cook,1
bank,bank,1
bright,bright,1
layer,layer,1
mass,mess,0
gross,gross,1
fee,feet,0
folk,folk,1
dock,dock,1
coal,coal,1
dust,dust,1
shock,shock,1
clumps,close,0
priest,priest,1
dine,sign,0
wine,wine,1
bulb,bulb,1
client,glide,0
fog,fire,0
brag,brag,1
chain,chain,1
crate,crate,1
solve,solve,1
dual,yours,0
book,book,1
bad,band,0
fine,fine,1
peach,mish,0
blood,blood,1
fund,fun,0
quit,quick,0
floor,floor,1
chest,chest,1
route,goose,0
blow,blow,1
grave,grave,1
grain,weigh,0
flake,flake,1
bomb,bomb,1
awe,hawk,0
coup,goo,0
style,sigh,0
mold,bowl,0
die,sigh,0
