key1,psAnswer1,accuracyScore
chant,chant,1
cop,cop,1
bloom,blue,0
dope,dope,1
grab,grab,1
bribe,bribe,1
fed,fed,1
blind,lined,0
wind,wind,1
gone,gone,1
chain,chain,1
bathe,bathe,1
flex,flex,1
else,else,1
dual,dual,1
gem,gem,1
drug,drug,1
clad,clad,1
nine,none,0
dream,dream,1
swamp,sqamp,0
flat,flat,1
book,book,1
goat,goat,1
earn,urn,0
chess,chess,1
guest,guets,0
foul,foul,1
coat,coat,1
care,carw,0
strive,strive,1
boat,boat,1
led,lead,0
grass,grass,1
live,live,1
tart,fart,0
two,two,1
dumb,dumb,1
flesh,flesh,1
flip,flip,1
bust,must,0
funk,far,0
batch,match,0
bloat,boat,0
firm,firm,1
coil,coil,1
cab,cab,1
greed,new,0
curb,herb,0
beg,bed,0
glow,globe,0
chart,charge,0
glass,glass,1
eight,ate,0
cycle,sun,0
mold,mole,0
solve,soft,0
fur,firm,0
pipe,babe,0
fifth,fifth,1
