key1,psAnswer1,accuracyScore
fluff,dluff,0
phase,faxe,0
grace,grace,1
blink,blink,1
blade,blaid,0
bug,bug,1
deal,deal,1
hit,hit,1
beat,feet,0
fish,fosh,0
dent,dent,1
dove,dove,1
eve,eve,1
clothe,cloth,0
grin,grin,1
crown,crown,1
oats,oats,1
cope,coke,0
flea,flee,0
greed,greed,1
code,coke,0
chest,chest,1
fade,fang,0
cuff,cuff,1
chin,chun,0
drain,drain,1
gap,gap,1
dine,iv,0
nine,ine,0
clumps,vlump,0
bush,brush,0
core,core,1
rod,riide,0
dope,dope,1
brief,brief,1
gray,grey,0
beef,theif,0
spray,spread,0
brag,bread,0
squat,squat,1
dash,dash,1
flag,dive,0
chunk,chuck,0
glass,class,0
castle,castle,1
pact,bat,0
dump,dump,1
cloud,fiuve,0
chop,chow,0
none,nine,0
chill,chin,0
badge,bash,0
coach,coach,1
route,three,0
budge,bunch,0
earn,old,0
bare,bear,0
dock,cap,0
crank,bus,0
blob,nopr,0
