key1,psAnswer1,accuracyScore
teen,teen,1
shrimp,shrimo,0
sue,sue,1
cried,cried,1
fan,fan,1
script,script,1
barge,barge,1
bare,bear,0
bleak,bleak,1
cheap,cheap,1
grind,grind,1
base,base,1
beast,besat,0
slick,slick,1
chef,chef,1
ham,ham,1
bleed,bleed,1
bear,bear,1
fuse,fuse,1
pledge,pledge,1
climb,climb,1
cow,call,0
draft,draft,1
flip,flip,1
thorn,thorn,1
bed,beg,0
broke,broke,1
bench,bench,1
glove,glove,1
duct,ducked,0
ease,ease,1
rent,wet,0
file,file,1
doom,doom,1
due,zoo,0
swamp,swamp,1
steam,steam,1
fuel,fued,0
chord,horde,0
fraud,far,0
bribe,bribe,1
brief,brief,1
gym,gym,1
led,leg,0
calm,calm,1
coast,coast,1
stove,stove,1
cream,screan,0
fish,fish,1
flu,fiid,0
bass,base,0
crowd,cry,0
east,eat,0
feast,feet,0
float,float,1
thief,leaf,0
quit,quest,0
bean,meat,0
dread,dry,0
tear,stare,0
