key1,psAnswer1,accuracyScore
cab,cab,1
quit,quir=t,0
hug,hug,1
coy,coy,1
brain,brain,1
goal,goal,1
glide,glide,1
chief,chief,1
ghost,ghost,1
crook,crook,1
fleet,fleet,1
flog,flog,1
dress,dress,1
fruit,fruit,1
wine,wine,1
bless,bless,1
clog,clog,1
cheap,cheap,1
bark,bark,1
pants,pants,1
dust,dust,1
gulp,gulp,1
tart,tart,1
grind,grind,1
mass,mass,1
date,date,1
grown,grow,0
build,build,1
deem,deem,1
awe,awe,1
shrimp,shrub,0
clown,cloud,0
cold,cold,1
fee,feet,0
buff,buff,1
strive,strive,1
bold,bold,1
bun,bug,0
clad,clag,0
client,client,1
budge,budge,1
barn,barn,1
slick,slate,0
row,ro,0
flag,fly,0
bag,bag,1
debt,desk,0
route,root,0
fad,fry,0
goose,goose,1
bald,ball,0
warmth,warmth,1
feast,face,0
eat,bleat,0
grass,cross,0
live,thief,0
bet,bat,0
gone,hard,0
coach,coach,1
bin,bit,0
