key2,psAnswer2,accuracyScore
guest,guest,1
bride,pride,0
flood,flood,1
bomb,bone,0
dread,dread,1
ham,ham,1
brick,brick,1
grin,grin,1
cliff,cliff,1
clerk,clerk,1
slush,slash,0
blame,blank,0
bear,there,0
click,click,1
hug,hug,1
warmth,work,0
break,break,1
deem,dean,0
clip,cliff,0
cell,spell,0
flair,plane,0
beam,new,0
live,play,0
blank,lake,0
flea,leave,0
beard,theory,0
glow,glow,1
bond,earned,0
fear,fear,1
cause,cars,0
truck,chalk,0
file,brown,0
flat,plant,0
coal,toy,0
style,sad,0
drain,pray,0
born,born,1
fat,fat,1
barn,party,0
clap,clash,0
stain,slam,0
your,slow,0
dense,dance,0
flex,slapped,0
mars,lobes,0
client,files,0
bloom,blue,0
earn,fail,0
cat,left,0
flush,flush,1
clown,plant,0
squat,inject,0
dump,done,0
brawl,throw,0
flick,slip,0
clash,flash,0
flank,slut,0
cap,slept,0
boss,slut,0
foil,slip,0
