key1,psAnswer1,accuracyScore
grind,grind,1
cope,cope,1
deal,deal,1
beef,beef,1
gash,gash,1
click,click,1
globe,globe,1
fog,fog,1
hit,hit,1
thorn,thorn,1
gift,gift,1
cork,cork,1
broil,broil,1
fame,fame,1
dope,dope,1
nine,nine,1
strike,strike,1
cure,cure,1
gush,gush,1
priest,priest,1
flag,flag,1
cuff,cuff,1
batch,batch,1
cell,sell,0
bake,bake,1
crush,crush,1
die,die,1
sock,sock,1
beam,beam,1
boil,boil,1
giant,giant,1
grant,grant,1
cloth,cloth,1
blade,blade,1
bad,band,0
cent,set,0
crack,crack,1
jeep,jeep,1
drab,drab,1
damp,damp,1
claim,claim,1
bloat,bloat,1
cap,cap,1
creep,creep,1
script,stripped,0
bond,bond,1
chord,court,0
dull,gull,0
eat,eat,1
draft,dreft,0
flat,flat,1
bed,bend,0
eight,eat,0
game,game,1
bride,bride,1
deed,lead,0
feast,fleet,0
chunk,chuck,0
blast,blast,1
dim,lip,0
