key1,psAnswer1,accuracyScore
flesh,flesh,1
bun,bun,1
flash,flash,1
dark,dark,1
wound,wound,1
gash,gash,1
fade,fade,1
style,style,1
calm,calm,1
deck,deck,1
brisk,brisk,1
foil,foil,1
else,else,1
carve,carve,1
cramp,cramp,1
deem,deem,1
wet,wet,1
core,core,1
thorn,thorn,1
coat,coat,1
blame,play,0
blur,blur,1
faith,faith,1
flu,flu,1
cry,cry,1
paid,pain,0
weep,with,0
fuse,fuse,1
doom,doom,1
cease,cease,1
lost,lost,1
beef,beef,1
brake,break,0
clock,clocks,0
broil,broil,1
client,client,1
gang,stay,0
bye,buy,0
fable,fab;e,0
glove,glove,1
chess,chest,0
gust,gust,1
smack,smash,0
blot,blush,0
nice,lost,0
your,joy,0
drink,drink,1
grace,grace,1
chart,charge,0
dull,doll,0
frog,frog,1
chore,choice,0
clerk,curs,0
clutch,clutch,1
den,stay,0
clog,lie,0
roar,rose,0
club,club,1
bean,bee,0
guilt,glitch,0
