key1,psAnswer1,accuracyScore
led,lead,0
gift,gift,1
truck,truck,1
bulb,bulb,1
globe,globe,1
broad,broad,1
priest,priest,1
bold,bold,1
bathe,bathe,1
rid,red,0
boost,boost,1
core,core,1
dual,dual,1
wet,wet,1
flood,fried,0
bowl,bowl,1
quest,quest,1
blaze,blaze,1
weep,wheep,0
claw,claw,1
cord,cord,1
wild,wild,1
dash,dash,1
ghost,ghost,1
drink,drink,1
choke,choke,1
crust,crust,1
glove,glove,1
drill,drill,1
gown,gowm,0
bias,mice,0
cheer,shield,0
cone,comb,0
gain,game,0
beach,beach,1
gone,long,0
beige,beige,1
bread,red,0
flask,flask,1
swamp,swamp,1
fowl,foam,0
chain,chaim,0
funk,fog,0
phase,face,0
cake,cane,0
sun,sigj,0
strive,strive,1
clad,clide,0
sake,six,0
pact,pat,0
drab,drag,0
croak,coat,0
fuse,fuse,1
ease,ease,1
duck,dusk,0
bridge,bridge,1
foam,"foa,",0
eel,hee;,0
clutch,clutch,1
bomb,bomb,1
