key1,psAnswer1,accuracyScore
fable,fable,1
fork,fork,1
duct,dot,0
earth,earth,1
fresh,fresh,1
dip,dip,1
birth,birth,1
fool,fool,1
fist,fist,1
fraud,fraud,1
barn,barn,1
clash,clash,1
chunk,chuck,0
quest,quest,1
ease,eat,0
grass,grass,1
depth,depth,1
fill,fill,1
foam,foam,1
cold,cold,1
pants,pants,1
broad,broad,1
eat,hit,0
coup,coon,0
gab,gam,0
glue,glue,1
cliff,cliff,1
brisk,brisk,1
beach,beach,1
bee,big,0
two,two,1
script,stripped,0
bind,bind,1
blade,blade,1
bridge,bridge,1
gross,gross,1
stuck,stuck,1
bag,bag,1
buff,buff,1
gas,guess,0
bald,bard,0
fast,fast,1
feud,food,0
bench,bench,1
flirt,foot,0
please,pace,0
hug,heart,0
chore,chore,1
shrimp,shrimp,1
dish,dish,1
priest,prince,0
broom,broom,1
fee,fade,0
cart,hut,0
truce,toast,0
awe,awe,1
solve,solve,1
drop,damp,0
duke,shooy,0
beat,beat,1
