key1,psAnswer1,accuracyScore
beef,beef,1
dress,dress,1
swamp,swamp,1
cry,cry,1
spire,spire,1
due,do,0
drink,drink,1
gulf,go;f,0
bib,bib,1
clip,clip,1
dent,debt,0
fool,fool,1
bless,bless,1
fence,fence,1
clown,cloud,0
fish,fish,1
care,care,1
quit,quit,1
gloom,glue,0
beg,beg,1
goose,goose,1
drab,drab,1
guide,dried,0
glide,glide,1
strike,strol,0
ball,ball,1
crawl,call,0
ton,tug,0
boot,boot,1
shed,bhed,0
peach,beach,0
beat,beat,1
bow,npw,0
dig,day,0
coat,coat,1
grace,grace,1
goat,goat,1
date,day,0
boss,boss,1
tank,yank,0
fate,fish,0
cash,cash,1
bell,belt,0
clot,light,0
chord,cord,0
earth,girl,0
brand,branch,0
chill,chill,1
bold,ball,0
cloak,cloack,0
blood,plus,0
cat,cat,1
tomb,soyp,0
fail,fan,0
paid,pan,0
deck,dent,0
chick,chase,0
drill,drink,0
bug,bug,1
duct,duch,0
