key1,psAnswer1,accuracyScore
tense,tense,1
born,born,1
dusk,dusk,1
cruel,cruel,1
please,please,1
blaze,blaze,1
two,two,1
pledge,pledge,1
carve,carve,1
mass,mass,1
blank,blank,1
dead,dead,1
drink,drink,1
gain,game,0
drill,drill,1
toast,toast,1
clerk,clerk,1
break,break,1
bun,bun,1
stove,stove,1
check,check,1
flop,flap,0
eel,eel,1
fish,fish,1
grace,grace,1
brief,brief,1
leapt,leapt,1
goose,goose,1
dive,dive,1
fate,feint,0
lead,lead,1
bark,bark,1
grand,grand,1
cream,cream,1
farm,farm,1
fluff,fluff,1
fault,fault,1
bass,base,0
germ,germ,1
dense,gnats,0
clue,clue,1
quest,west,0
beef,blew,0
cope,cope,1
bridge,fridge,0
cop,hop,0
dent,stench,0
strike,strength,0
sake,sick,0
pop,pop,1
freeze,wreath,0
dirt,earth,0
crust,rest,0
beat,beat,1
due,two,0
dog,johm,0
drop,drop,1
cook,good,0
jeep,cheap,0
box,pipes,0
