key1,psAnswer1,accuracyScore
block,block,1
cleft,cleft,1
desk,desk,1
beard,beard,1
crank,crank,1
blow,blow,1
grill,grill,1
cart,cart,1
fruit,fruit,1
brow,brow,1
blush,blush,1
rid,rid,1
clip,clip,1
bye,bye,1
pants,pants,1
lost,lost,1
pop,pop,1
gram,gram,1
fat,fat,1
bite,bite,1
brake,brick,0
jam,jam,1
click,click,1
clown,clown,1
coach,coach,1
cone,cone,1
axe,ask,0
style,style,1
clot,glad,0
warmth,warmth,1
brain,brain,1
belch,belch,1
gut,gut,1
doom,doom,1
dot,dot,1
eye,eye,1
flesh,flesh,1
gang,gay,0
gown,elm,0
peach,beach,0
flow,flow,1
bail,bail,1
goat,ghost,0
layer,lair,0
grape,grape,1
fake,fein,0
none,dime,0
cruel,cool,0
fund,fire,0
fluent,fluid,0
curb,herb,0
gift,lift,0
cross,cross,1
bleed,bleak,0
green,green,1
fur,firm,0
dock,sty,0
chest,jest,0
dial,style,0
fresh,fresh,1
