key1,psAnswer1,accuracyScore
rent,rent,1
dope,dope,1
blur,blur,1
booth,booth,1
wheat,wheat,1
clot,clot,1
feed,feed,1
chew,chew,1
game,game,1
built,built,1
cause,cause,1
farm,farm,1
bay,bay,1
dine,dine,1
fresh,fresh,1
chip,chip,1
cried,cried,1
flesh,flesh,1
blend,bled,0
dog,dog,1
code,code,1
die,die,1
clean,clean,1
beard,beard,1
brake,break,0
eat,eat,1
bat,bat,1
grand,grand,1
teen,team,0
brown,brown,1
dry,dry,1
golf,golf,1
floor,floor,1
chest,chest,1
route,root,0
blade,big,0
bye,buy,0
glue,glue,1
coast,coast,1
chart,chart,1
tank,take,0
float,float,1
clip,clip,1
slush,slush,1
freeze,freeze,1
champ,trip,0
crook,crook,1
crane,crane,1
gown,gown,1
sue,soup,0
druid,dream,0
bet,bat,0
count,cow,0
boat,boat,1
steam,steam,1
fright,rent,0
fault,false,0
chill,jail,0
hike,hug,0
rod,ground,0
