key1,psAnswer1,accuracyScore
beast,beast,1
dash,dash,1
crypt,crypt,1
drab,drab,1
bound,bound,1
bye,bye,1
fade,fade,1
crate,crate,1
cross,cross,1
gross,gross,1
dot,dot,1
clumps,clumps,1
pact,pact,1
cliff,cliff,1
drum,drum,1
fish,fish,1
hug,hug,1
grave,grave,1
bath,bath,1
bruise,bruise,1
camp,camp,1
dump,dump,1
quart,quart,1
crush,crush,1
cab,cab,1
glow,glow,1
dress,dress,1
broke,broke,1
ditch,ditch,1
smack,smack,1
bin,been,0
rid,grid,0
sue,sue,1
base,bass,0
dust,dust,1
layer,layer,1
gut,gut,1
guest,guest,1
feast,feast,1
fuel,fuel,1
grass,grass,1
dim,dim,1
bat,bat,1
roast,roast,1
deck,deck,1
ball,ball,1
thief,theif,0
eight,eight,1
gram,grim,0
frost,frost,1
chant,chain,0
cell,sell,0
fate,fate,1
beach,beach,1
cease,seize,0
gym,gym,1
bridge,bridge,1
bias,bias,1
cup,come,0
crank,crack,0
