key1,psAnswer1,accuracyScore
cycle,cycle,1
swayed,suede,0
buff,buff,1
gust,gust,1
truck,truck,1
golf,golf,1
drive,drive,1
wild,wild,1
cap,cap,1
grain,grain,1
shrimp,shrimp,1
ditch,dish,0
deck,kin,0
teen,teen,1
fresh,fresh,1
ball,ball,1
coast,coast,1
bowl,bowl,1
cheek,cheek,1
fate,faint,0
cash,cash,1
fit,fit,1
giant,giant,1
fish,fish,1
squat,twat,0
fault,fault,1
bond,bond,1
bug,bug,1
tomb,chew,0
cook,cook,1
shock,shock,1
gate,gate,1
beach,beach,1
round,round,1
crust,crust,1
gab,gab,1
gulp,golp,0
chunk,chug,0
blade,blade,1
grim,grim,1
faith,faith,1
jeep,cheap,0
swan,twenty,0
flag,flag,1
dip,dip,1
brand,play,0
frog,fraud,0
fix,fix,1
priest,priest,1
roar,wore,0
flank,fling,0
feud,food,0
chain,chain,1
rent,what,0
gown,gown,1
live,live,1
gray,grey,0
claw,lock,0
dad,dad,1
cream,early,0
