filePaths,rhythm,stim1,stim2,stim3,stim4,stim5,stim6,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,stim6Start,stim6End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim6_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,stim6Start_i2,stim6End_i2,audFile_i2,audStart_i2,similCat_i2,setVol,corrMatchAnswer,condFilePath,sensoryCond,stimStart,overallRhythmOrder.thisRepN,overallRhythmOrder.thisTrialN,overallRhythmOrder.thisN,overallRhythmOrder.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,text.started,text.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.840421639964916,None,space,55.435599596996326,11.030421468953136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,18,2,2,1,1,2,1,11,41,53,83,95,100,112,117,129,159,171,176,3_audFile.wav,10,7,16,2,2,1,2,1,1,11,41,53,83,95,100,112,142,154,159,171,176,3_audFile.wav,10,7,0,2,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,66.60064494900871,None,space,6.581324039027095,66.70064941595774,None,73.33064984797966,None,73.52064351300942,None,74.52072687196778,None,74.63069688895484,74.9306799689657,75.05073170596734,75.35068944998784,75.47071749198949,75.52064292697469,75.64068577298895,75.69069144799141,75.81069081096211,76.11068923899438,76.23067800299032,76.28062872297596,74.62068866717746,None,76.38064748700708,None,77.69074005796574,None,77.80067008599872,78.10070075799013,78.22072376997676,78.52079204196343,78.64071565895574,78.6906612389721,78.81071453099139,79.11069848196348,79.23068358696764,79.2806940790033,79.40072314598365,79.45067716896301,77.79070703616017,None,1,0.7033022199757397,80.05070680595236,None,80.05070680595236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,28,1,2,1,1,2,2,11,16,28,58,70,75,87,92,104,134,146,176,3_audFile.wav,10,5,22,1,2,1,2,2,1,11,16,28,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,5,0,2,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,80.7806723289541,None,80.96070363599574,81.96067070000572,81.98069947998738,None,82.09069749398623,82.14068599097664,82.26073122996604,82.56074556999374,82.68067523400532,82.73095552896848,82.85076692595612,82.90075092500774,83.02066369797103,83.32069915899774,83.44070878997445,83.7407062809798,82.08074842120405,None,83.84066793799866,None,85.14074740296928,None,85.25076001696289,85.30076117499266,85.42083533696132,85.72071265295381,85.84067694796249,85.89077478297986,86.010784477985,86.31072055496043,86.43073349498445,86.73071938299108,86.85072056599893,86.90074490295956,85.24072258320521,None,2,0.4132958659902215,87.50074457598384,None,87.50074457598384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,21,2,1,1,2,2,1,11,41,53,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,6,17,2,1,2,2,1,1,11,41,53,58,70,100,112,142,154,159,171,176,3_audFile.wav,10,6,0,2,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,87.94086987996707,None,88.12074454000685,89.12074506399222,89.14077253395226,None,89.25074314197991,89.55071909597609,89.6707665619906,89.72073527297471,89.84076532896142,89.89073595398804,90.01076081895735,90.31073521595681,90.43072203197517,90.73070333496435,90.85071937198518,90.90087284700712,89.24078257120564,None,91.00076868495671,None,92.30077143397648,None,92.41074008395663,92.71071382495575,92.83083519397769,92.8807745379745,93.00076229596743,93.30076828500023,93.42081374599366,93.72075677500106,93.84074050799245,93.89077519497368,94.01077891199384,94.06072604696965,92.40071449318785,None,2,3.1572436449932866,94.66076151095331,None,94.66076151095331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,18,2,2,1,1,2,1,11,41,53,83,95,100,112,117,129,159,171,176,3_audFile.wav,10,7,18,2,2,1,1,2,1,11,41,53,83,95,100,112,117,129,159,171,176,3_audFile.wav,10,7,0,1,,,,0,0,0,0,0,3,3,31,,,,,,,,,,,,,,,,,,,,,97.83081182697788,None,98.02074806997553,99.02082524000434,99.03079113195417,None,99.14078769099433,99.44076009298442,99.56082624098053,99.86079287400935,99.98078347195406,100.03076540399343,100.15074356499827,100.20077360299183,100.32078374398407,100.62078270496568,100.74077914399095,100.79077895497903,99.13075769215939,None,100.89072825096082,None,102.19079025200335,None,102.3008256299654,102.60080193897011,102.72087497997563,103.02083641296485,103.14079142798437,103.19080192199908,103.31077854300383,103.36078682396328,103.48082095797872,103.78084056900116,103.90080640296219,103.95078549295431,102.29076796520386,None,1,0.5153346000006422,104.55074219999369,None,104.55074219999369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,27,1,1,2,2,1,2,11,16,28,33,45,75,87,117,129,134,146,176,3_audFile.wav,10,4,27,1,1,2,2,1,2,11,16,28,33,45,75,87,117,129,134,146,176,3_audFile.wav,10,4,0,1,,,,0,0,0,0,0,4,4,22,,,,,,,,,,,,,,,,,,,,,105.08083360997261,None,105.270764811954,106.27077056199778,106.28084048995515,None,106.39084899198497,106.44078723195707,106.56086881295778,106.61080856097396,106.73078368097777,107.0307765409816,107.1507962589967,107.45079321297817,107.57076632697135,107.620868959988,107.74079439800698,108.04083470400656,106.38076030318044,None,108.1409088599612,None,109.44083833199693,None,109.55079654796282,109.60084756097058,109.72078878700268,109.77078032196732,109.89084082399495,110.19078117900062,110.31081676098984,110.61087264097296,110.73079802200664,110.78081471601035,110.9008564419928,111.20087802095804,109.54076595220832,None,1,38.24920012598159,111.80082047200995,None,111.80082047200995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,26,1,2,1,2,1,2,11,16,28,58,70,75,87,117,129,134,146,176,3_audFile.wav,10,5,26,1,2,1,2,1,2,11,16,28,58,70,75,87,117,129,134,146,176,3_audFile.wav,10,5,0,1,,,,0,0,0,0,0,5,5,15,,,,,,,,,,,,,,,,,,,,,150.0609845079598,None,150.2509423099691,151.25093019695487,151.2610726619605,None,151.3711014899891,151.4209688619594,151.54096857598051,151.84099134098506,151.96099094901,152.01095352700213,152.13094500696752,152.4309593969956,152.5509518989711,152.60096561000682,152.72100302495528,153.02098658698378,151.36095796415466,None,153.120982695953,None,154.42099506797967,None,154.5309607409872,154.58105414896272,154.70099054597085,155.00097268499667,155.1210115950089,155.17098924599122,155.29100397700677,155.5909758239868,155.7109733359539,155.76104439498158,155.88110485498328,156.1809536909568,154.52094222116867,None,2,0.5010333620011806,156.78098432300612,None,156.78098432300612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,26,1,2,1,2,1,2,11,16,28,58,70,75,87,117,129,134,146,176,3_audFile.wav,10,5,22,1,2,1,2,2,1,11,16,28,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,5,0,2,,,,0,0,0,0,0,6,6,24,,,,,,,,,,,,,,,,,,,,,157.30100738600595,None,157.49100022396306,158.49110549897887,158.50101667799754,None,158.61094417999266,158.66101168398745,158.78103739500511,159.08107250498142,159.20101555500878,159.25099829898681,159.37110185599886,159.67109930497827,159.7911110529676,159.84106152498862,159.96102069999324,160.26105066697346,158.6009973631648,None,160.361006616964,None,161.66101997700753,None,161.7710161189898,161.82106565800495,161.94105586298974,162.2410447319853,162.36107169796014,162.4109636489884,162.53101745195454,162.83102882897947,162.95101423899177,163.2510156389908,163.37096295895753,163.42103106697323,161.76094606216648,None,2,0.09303562302375212,164.02101945795584,None,164.02101945795584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,17,2,1,2,2,1,1,11,41,53,58,70,100,112,142,154,159,171,176,3_audFile.wav,10,6,17,2,1,2,2,1,1,11,41,53,58,70,100,112,142,154,159,171,176,3_audFile.wav,10,6,0,1,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,,,,,164.13095985300606,None,164.32108704099664,165.3210684079677,165.33103710098658,None,165.44109052297426,165.74105767399305,165.8610714660026,165.9110255469568,166.03105915698688,166.33103711297736,166.45103650499368,166.75101491098758,166.870992963959,166.92105558299227,167.0410668849945,167.09100100200158,165.4310718982073,None,167.1911252560094,None,168.4910674659768,None,168.60104943497572,168.90105881600175,169.0210324699874,169.07114200200886,169.1910923619871,169.49104229098884,169.61102738097543,169.91104623000138,170.03108289296506,170.08106185600627,170.2011095659691,170.25113063695608,168.5910684602044,None,1,3.582959090010263,170.85110251995502,None,170.85110251995502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/3_VisualBlock1.csv,21,2,1,1,2,2,1,11,41,53,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,6,21,2,1,1,2,2,1,11,41,53,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,6,0,1,,,,0,0,0,0,0,8,8,13,,,,,,,,,,,,,,,,,,,,,174.4511268819915,None,174.64107099798275,175.64116054098122,175.65107117500156,None,175.76109596400056,176.0611869589775,176.18107623397373,176.2311665189918,176.35105230397312,176.40110160800396,176.52107948396588,176.82109467498958,176.94108285498805,177.241093944991,177.3610940449871,177.4110539079993,175.75110128016095,None,177.5110647789552,None,178.81106710399035,None,178.92113672895357,179.22108531795675,179.3411126129795,179.39113129099132,179.51105701900087,179.5612169179949,179.68111897696508,179.98109862895217,180.1011231179582,180.40111353097018,180.5211239209748,180.5710432389751,178.9111069381528,None,1,0.46298389602452517,181.17108406696934,None,181.17108406696934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1721,Cognition2_FullCode1,2021.2.3,99.93299391711844,
